139224	120.0	0.0	207.0	73.0
139234	120.0	0.0	207.0	72.0
139243	120.0	0.0	207.0	71.0
139253	120.0	0.0	207.0	71.0
139264	120.0	0.0	207.0	70.0
139274	150.0	30.0	207.0	78.0
139283	150.0	30.0	207.0	76.0
139293	150.0	30.0	207.0	75.0
139303	150.0	30.0	207.0	73.0
139314	150.0	30.0	207.0	72.0
139324	150.0	30.0	207.0	71.0
139333	180.0	60.0	207.0	79.0
139343	180.0	90.0	207.0	74.0
139354	180.0	90.0	207.0	73.0
139364	180.0	90.0	207.0	71.0
139373	180.0	90.0	207.0	71.0
139383	180.0	90.0	207.0	70.0
139394	180.0	90.0	207.0	69.0
139404	210.0	90.0	207.0	80.0
139413	210.0	120.0	207.0	75.0
139423	210.0	120.0	207.0	73.0
139433	210.0	150.0	207.0	72.0
139444	210.0	150.0	207.0	68.0
139454	210.0	150.0	207.0	68.0
139463	210.0	150.0	207.0	67.0
139473	210.0	150.0	207.0	67.0
139484	210.0	150.0	207.0	67.0
139494	210.0	180.0	207.0	63.0
139503	240.0	180.0	207.0	75.0
139513	240.0	180.0	207.0	73.0
139524	240.0	180.0	207.0	72.0
139534	240.0	210.0	207.0	71.0
139544	270.0	210.0	207.0	78.0
139553	270.0	210.0	207.0	76.0
139564	270.0	210.0	207.0	74.0
139574	270.0	210.0	207.0	73.0
139584	270.0	240.0	207.0	68.0
139593	270.0	240.0	207.0	68.0
139603	270.0	240.0	207.0	67.0
139614	270.0	240.0	207.0	67.0
139624	270.0	240.0	207.0	66.0
139634	270.0	240.0	207.0	66.0
139643	300.0	240.0	207.0	77.0
139654	300.0	270.0	207.0	72.0
139664	300.0	270.0	207.0	71.0
139674	300.0	270.0	207.0	70.0
139683	300.0	270.0	207.0	69.0
139694	300.0	300.0	207.0	65.0
139704	300.0	300.0	207.0	65.0
139714	330.0	300.0	207.0	64.0
139723	330.0	300.0	207.0	76.0
139734	330.0	300.0	207.0	74.0
139744	330.0	300.0	207.0	72.0
139754	330.0	300.0	207.0	71.0
139764	330.0	300.0	207.0	70.0
139773	0.0	330.0	207.0	77.0
139784	0.0	330.0	207.0	75.0
139794	0.0	330.0	207.0	73.0
139804	0.0	0.0	207.0	68.0
139813	0.0	0.0	207.0	67.0
139824	0.0	0.0	207.0	67.0
139834	0.0	0.0	207.0	66.0
139844	0.0	0.0	207.0	66.0
139854	0.0	30.0	207.0	62.0
139864	30.0	30.0	207.0	74.0
139874	30.0	30.0	207.0	72.0
139884	30.0	30.0	207.0	70.0
139894	60.0	30.0	207.0	81.0
139904	60.0	30.0	207.0	78.0
139914	60.0	60.0	207.0	72.0
139924	60.0	90.0	207.0	68.0
139934	60.0	90.0	207.0	67.0
139943	60.0	90.0	207.0	66.0
139954	60.0	90.0	207.0	65.0
139964	60.0	90.0	207.0	65.0
139974	60.0	90.0	207.0	64.0
139984	90.0	120.0	207.0	72.0
139994	90.0	120.0	207.0	71.0
140004	90.0	120.0	207.0	69.0
140014	90.0	150.0	207.0	65.0
140024	120.0	150.0	207.0	76.0
140034	120.0	150.0	207.0	73.0
140044	120.0	150.0	207.0	71.0
140054	120.0	150.0	207.0	70.0
140064	120.0	180.0	207.0	65.0
140075	120.0	180.0	207.0	65.0
140084	120.0	180.0	207.0	64.0
140094	120.0	180.0	207.0	64.0
140104	150.0	180.0	207.0	63.0
140114	150.0	210.0	207.0	71.0
140124	150.0	210.0	207.0	70.0
140134	150.0	210.0	207.0	68.0
140144	150.0	210.0	207.0	67.0
140154	150.0	240.0	207.0	63.0
140165	150.0	240.0	207.0	62.0
140174	180.0	240.0	207.0	74.0
140184	180.0	240.0	207.0	71.0
140194	180.0	240.0	207.0	70.0
140205	180.0	240.0	207.0	68.0
140214	180.0	240.0	207.0	67.0
140224	180.0	270.0	207.0	66.0
140234	210.0	270.0	207.0	62.0
140244	210.0	270.0	207.0	73.0
140254	210.0	270.0	207.0	71.0
140264	210.0	300.0	207.0	69.0
140274	210.0	300.0	207.0	65.0
140284	210.0	300.0	207.0	64.0
140295	210.0	300.0	207.0	63.0
140304	210.0	300.0	207.0	63.0
140314	210.0	300.0	207.0	63.0
140324	210.0	300.0	207.0	62.0
140335	240.0	300.0	207.0	73.0
140344	240.0	330.0	207.0	68.0
140354	240.0	330.0	207.0	67.0
